Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
16-Nov-23,EQ,"1,509.70","1,519.00","1,503.75","1,504.40","1,508.00","1,508.35","1,511.01","1,757.50","1,460.25","1,48,56,919","22,44,90,02,896.90","2,70,257"
15-Nov-23,EQ,"1,504.10","1,510.95","1,500.55","1,488.80","1,504.80","1,504.40","1,505.70","1,757.50","1,460.25","2,06,22,730","31,05,15,66,881.50","3,31,586"
13-Nov-23,EQ,"1,492.10","1,495.95","1,485.90","1,500.00","1,489.00","1,488.80","1,490.72","1,757.50","1,460.25","1,03,02,957","15,35,88,48,457.45","3,18,892"
12-Nov-23,EQ,"1,500.00","1,502.00","1,496.15","1,491.50","1,499.00","1,500.00","1,499.50","1,757.50","1,460.25","19,75,463","2,96,22,07,492.65","85,801"
10-Nov-23,EQ,"1,480.10","1,496.00","1,480.05","1,485.65","1,495.00","1,491.50","1,486.67","1,757.50","1,460.25","70,07,593","10,41,79,71,067.75","1,81,055"
09-Nov-23,EQ,"1,486.00","1,492.60","1,483.50","1,491.55","1,486.50","1,485.65","1,487.69","1,757.50","1,460.25","1,10,58,370","16,45,14,04,289.60","2,81,527"
08-Nov-23,EQ,"1,483.95","1,493.45","1,481.00","1,487.25","1,491.80","1,491.55","1,489.03","1,757.50","1,460.25","1,56,99,773","23,37,74,06,572.30","4,99,216"
07-Nov-23,EQ,"1,494.00","1,494.00","1,477.20","1,494.50","1,490.00","1,487.25","1,484.48","1,757.50","1,460.25","2,09,76,424","31,13,90,51,244.05","5,85,794"
06-Nov-23,EQ,"1,498.00","1,498.00","1,483.00","1,483.75","1,493.80","1,494.50","1,488.25","1,757.50","1,460.25","1,27,96,865","19,04,49,45,751.70","3,86,836"
03-Nov-23,EQ,"1,488.00","1,491.40","1,481.65","1,476.75","1,484.50","1,483.75","1,487.25","1,757.50","1,460.25","90,47,670","13,45,61,52,900.70","2,26,806"
02-Nov-23,EQ,"1,485.00","1,490.50","1,467.15","1,474.50","1,478.70","1,476.75","1,472.27","1,757.50","1,460.25","2,26,12,577","33,29,18,73,290.70","2,60,964"
01-Nov-23,EQ,"1,462.25","1,477.45","1,462.25","1,476.50","1,477.00","1,474.50","1,469.20","1,757.50","1,460.25","1,69,38,733","24,88,64,25,534.80","3,40,052"
31-Oct-23,EQ,"1,504.00","1,504.00","1,474.00","1,485.10","1,475.00","1,476.50","1,482.03","1,757.50","1,460.25","1,63,17,412","24,18,28,40,370.90","4,22,644"
30-Oct-23,EQ,"1,463.25","1,489.95","1,461.90","1,469.15","1,487.85","1,485.10","1,479.49","1,757.50","1,460.25","1,16,55,491","17,24,41,38,134.55","2,69,734"
27-Oct-23,EQ,"1,469.50","1,478.00","1,466.90","1,463.40","1,472.55","1,469.15","1,470.94","1,757.50","1,445.00","1,59,70,266","23,49,13,78,766.10","2,83,464"
26-Oct-23,EQ,"1,491.25","1,492.00","1,460.25","1,496.50","1,462.45","1,463.40","1,469.55","1,757.50","1,445.00","2,77,80,899","40,82,54,80,054.70","6,24,140"
25-Oct-23,EQ,"1,521.00","1,522.80","1,491.45","1,506.05","1,494.20","1,496.50","1,505.86","1,757.50","1,445.00","1,41,55,998","21,31,69,45,153.10","3,72,043"
23-Oct-23,EQ,"1,523.50","1,528.75","1,500.10","1,522.80","1,507.00","1,506.05","1,520.08","1,757.50","1,445.00","1,11,88,068","17,00,67,38,603.70","2,49,005"
20-Oct-23,EQ,"1,505.00","1,527.00","1,505.00","1,514.95","1,523.40","1,522.80","1,519.35","1,757.50","1,427.00","1,05,47,005","16,02,45,69,217.40","2,67,376"
19-Oct-23,EQ,"1,505.40","1,526.25","1,503.20","1,519.75","1,514.50","1,514.95","1,516.62","1,757.50","1,427.00","1,51,26,182","22,94,06,29,736.40","3,31,067"
18-Oct-23,EQ,"1,541.20","1,541.20","1,518.10","1,541.20","1,519.00","1,519.75","1,524.62","1,757.50","1,427.00","1,56,08,100","23,79,63,58,906.90","3,42,915"
17-Oct-23,EQ,"1,555.75","1,555.75","1,535.00","1,529.60","1,542.50","1,541.20","1,542.46","1,757.50","1,427.00","1,64,51,279","25,37,54,68,422.15","3,82,090"
16-Oct-23,EQ,"1,531.50","1,534.45","1,520.50","1,535.75","1,532.00","1,529.60","1,529.19","1,757.50","1,427.00","89,28,042","13,65,26,81,917.00","2,23,477"
13-Oct-23,EQ,"1,540.00","1,548.80","1,529.95","1,549.85","1,533.50","1,535.75","1,539.45","1,757.50","1,384.00","1,98,72,650","30,59,28,84,042.20","2,56,367"
12-Oct-23,EQ,"1,536.10","1,552.00","1,531.60","1,539.60","1,548.00","1,549.85","1,541.66","1,757.50","1,384.00","1,10,12,668","16,97,78,44,444.80","2,39,200"
11-Oct-23,EQ,"1,530.10","1,542.15","1,528.50","1,524.85","1,542.00","1,539.60","1,534.92","1,757.50","1,384.00","1,56,66,680","24,04,71,40,129.10","2,82,864"
10-Oct-23,EQ,"1,520.55","1,529.00","1,515.20","1,516.25","1,526.00","1,524.85","1,523.15","1,757.50","1,384.00","1,66,33,146","25,33,48,54,412.75","3,75,460"
09-Oct-23,EQ,"1,528.00","1,530.00","1,512.00","1,534.05","1,516.00","1,516.25","1,517.69","1,757.50","1,384.00","82,27,486","12,48,67,90,439.80","2,19,643"
06-Oct-23,EQ,"1,544.00","1,545.00","1,529.85","1,535.75","1,535.00","1,534.05","1,539.10","1,757.50","1,384.00","88,79,678","13,66,66,72,813.35","2,21,516"
05-Oct-23,EQ,"1,535.05","1,551.55","1,532.60","1,529.55","1,535.85","1,535.75","1,540.76","1,757.50","1,384.00","2,42,56,337","37,37,31,76,644.20","3,60,029"
04-Oct-23,EQ,"1,495.00","1,535.00","1,489.25","1,508.05","1,532.00","1,529.55","1,519.36","1,757.50","1,384.00","2,73,24,715","41,51,59,75,722.85","4,65,424"
03-Oct-23,EQ,"1,527.00","1,527.00","1,506.00","1,526.30","1,508.00","1,508.05","1,511.94","1,757.50","1,384.00","1,94,85,847","29,46,14,59,601.05","4,66,405"
29-Sep-23,EQ,"1,523.70","1,535.45","1,522.30","1,523.70","1,525.85","1,526.30","1,529.20","1,757.50","1,365.00","1,60,26,891","24,50,83,75,856.50","2,74,764"
28-Sep-23,EQ,"1,534.00","1,537.60","1,518.35","1,526.85","1,518.40","1,523.70","1,526.61","1,757.50","1,365.00","2,76,77,094","42,25,20,70,128.65","3,24,684"
27-Sep-23,EQ,"1,523.00","1,532.50","1,515.00","1,537.65","1,527.45","1,526.85","1,524.39","1,757.50","1,365.00","1,96,69,269","29,98,35,98,526.15","3,84,553"
26-Sep-23,EQ,"1,525.00","1,540.00","1,525.00","1,531.00","1,538.00","1,537.65","1,535.23","1,757.50","1,365.00","1,37,87,654","21,16,71,97,917.55","3,03,026"
25-Sep-23,EQ,"1,525.00","1,540.70","1,525.00","1,529.65","1,528.90","1,531.00","1,533.28","1,757.50","1,365.00","2,01,04,377","30,82,57,20,275.30","3,38,863"
22-Sep-23,EQ,"1,559.00","1,564.40","1,523.75","1,553.35","1,530.20","1,529.65","1,544.59","1,757.50","1,365.00","3,08,52,125","47,65,39,55,740.50","5,48,206"
21-Sep-23,EQ,"1,553.00","1,568.95","1,537.05","1,563.70","1,554.50","1,553.35","1,555.34","1,757.50","1,365.00","3,64,20,721","56,64,66,57,569.55","6,14,240"
20-Sep-23,EQ,"1,599.00","1,599.00","1,560.40","1,629.05","1,566.00","1,563.70","1,570.63","1,757.50","1,365.00","5,77,37,324","90,68,40,80,075.60","9,77,717"
18-Sep-23,EQ,"1,653.75","1,655.00","1,626.10","1,661.75","1,629.65","1,629.05","1,636.50","1,757.50","1,365.00","1,85,28,144","30,32,12,24,693.30","2,92,658"
15-Sep-23,EQ,"1,650.00","1,670.00","1,650.00","1,642.90","1,657.00","1,661.75","1,660.63","1,757.50","1,365.00","8,67,05,601","1,43,98,61,31,583.85","4,85,971"
14-Sep-23,EQ,"1,644.25","1,650.00","1,635.10","1,643.90","1,643.00","1,642.90","1,642.38","1,757.50","1,365.00","1,17,69,424","19,32,98,82,409.25","2,69,108"
13-Sep-23,EQ,"1,631.30","1,651.60","1,628.60","1,636.90","1,641.60","1,643.90","1,643.76","1,757.50","1,365.00","2,32,10,047","38,15,17,41,645.90","3,53,522"
