Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-February-2024,4130.90,4159.35,4106.10,4119.05,4129.262791792332769651,57361,7806,236858643.00,37640,65.62,53.25,-11.85
9-February-2024,4130.00,4184.55,4098.40,4134.25,4133.264476578914843653,202275,20214,836056072.00,41307,20.42,86.15,4.25
8-February-2024,4090.00,4157.60,4085.75,4135.55,4127.763851874413056168,39399,4281,162629768.00,17876,45.37,71.85,45.55
7-February-2024,4140.15,4156.05,4072.85,4083.20,4085.312845410877537317,271054,4875,1107340388.00,245415,90.54,83.20,-56.95
6-February-2024,4000.00,4149.75,3987.10,4133.45,4109.491894007155635062,107328,13756,441063546.00,42301,39.41,162.65,133.45
5-February-2024,3973.60,4020.00,3960.45,3972.75,3999.497273701462430660,126912,16261,507584198.00,85716,67.54,59.55,-0.85
2-February-2024,3860.00,3982.05,3860.00,3966.35,3948.866383827741006226,178429,16918,704592280.00,38439,21.54,122.05,106.35
1-February-2024,3816.20,3904.70,3805.00,3851.45,3833.333643843128913672,780437,5552,2991675409.00,739259,94.72,99.70,35.25
31-January-2024,3804.15,3834.90,3797.00,3814.75,3813.248610424901185770,32384,3492,123488243.00,14752,45.55,37.90,10.60
30-January-2024,3801.50,3845.75,3786.00,3799.10,3822.736271129116455528,272018,6833,1039853075.00,248652,91.41,59.75,-2.40
29-January-2024,3807.85,3820.50,3782.00,3801.35,3807.918446787424327454,251247,3288,956728086.00,234767,93.44,38.50,-6.50
25-January-2024,3836.80,3855.00,3780.00,3808.20,3818.021819854662854183,1089054,25350,4158031935.00,692438,63.58,75.00,-28.60
24-January-2024,3862.20,3881.40,3805.00,3848.00,3844.650471957982884636,408405,11654,1570174476.00,285785,69.98,76.40,-14.20
23-January-2024,3900.00,3933.00,3844.25,3861.90,3885.269758227385509030,51991,4344,201999060.00,30712,59.07,88.75,-38.10
20-January-2024,3945.45,3953.95,3857.00,3860.60,3898.915404871626069782,21266,2331,82914335.00,9592,45.10,96.95,-84.85
19-January-2024,3930.00,3963.00,3917.40,3942.25,3939.859621496008911000,562002,25902,2214208987.00,163439,29.08,45.60,12.25
18-January-2024,3890.20,3908.00,3862.00,3903.50,3889.478742343320961950,99423,6246,386703645.00,14091,14.17,46.00,13.30
17-January-2024,3835.85,3910.00,3818.10,3884.15,3880.964648664343786295,41328,3964,160392507.00,16012,38.74,91.90,48.30
16-January-2024,3902.25,3902.25,3855.25,3861.00,3874.263056548905568436,25447,2776,98588372.00,13933,54.75,47.00,-41.25
15-January-2024,3952.45,3965.00,3885.00,3902.40,3915.528199201041339377,89116,9790,348936211.00,49790,55.87,80.00,-50.05
12-January-2024,3843.95,3905.75,3820.60,3881.70,3883.534830452765071626,1168288,49772,4537087140.00,352345,30.16,85.15,37.75
11-January-2024,3723.00,3772.00,3708.00,3736.20,3739.515234957550710087,205186,10641,767296173.00,150130,73.17,64.00,13.20
10-January-2024,3690.15,3730.00,3688.00,3713.70,3711.268837893379538219,99268,8875,368410235.00,73392,73.93,42.00,23.55
9-January-2024,3718.85,3752.10,3683.15,3690.15,3717.684808036328608779,87204,5066,324196986.00,61580,70.62,68.95,-28.70
8-January-2024,3737.75,3738.15,3671.05,3677.70,3697.009691027248888382,26313,3868,97279416.00,12045,45.78,67.10,-60.05
5-January-2024,3671.20,3746.90,3671.20,3737.75,3726.553537922235025584,226503,17793,844075556.00,67741,29.91,75.70,66.55
4-January-2024,3700.00,3719.15,3651.55,3667.00,3666.270452502247527719,113458,10057,415967713.00,80063,70.57,67.60,-33.00
3-January-2024,3770.00,3770.00,3688.20,3691.55,3710.651255226019196419,101894,15635,378093099.00,57107,56.05,81.80,-78.45
2-January-2024,3814.40,3814.40,3766.45,3783.25,3786.621209979503851862,28298,3037,107153807.00,15955,56.38,47.95,-31.15
1-January-2024,3792.00,3831.90,3772.80,3810.60,3803.632274555938012867,68853,8634,261891493.00,40802,59.26,59.10,18.60
29-December-2023,3797.85,3822.95,3766.05,3794.95,3797.496589758870883824,105711,13393,401437162.00,37012,35.01,56.90,-2.90
28-December-2023,3822.10,3838.25,3793.75,3801.05,3816.453069455838118676,29256,3578,111654151.00,15829,54.11,44.50,-21.05
27-December-2023,3795.55,3818.00,3768.10,3810.80,3793.607635206786850477,28290,3086,107321160.00,11058,39.09,49.90,15.25
26-December-2023,3780.10,3833.85,3780.10,3794.60,3805.421841175800387376,70216,9316,267201500.00,37554,53.48,53.75,14.50
22-December-2023,3796.30,3845.95,3762.70,3825.30,3806.971265226520292852,127163,12697,484105887.00,38559,30.32,83.25,29.00
21-December-2023,3734.40,3805.00,3734.40,3789.45,3780.868269358187199081,90556,10282,342380307.00,48993,54.10,70.60,55.05
20-December-2023,3821.60,3898.85,3768.00,3780.35,3842.787845849802371541,60720,6313,233334078.00,31838,52.43,130.85,-41.25
19-December-2023,3841.40,3852.00,3791.00,3812.10,3814.309722581360127073,54142,4932,206514357.00,25899,47.84,61.00,-29.30
18-December-2023,3860.00,3928.95,3831.20,3858.00,3871.535904219052554067,73334,7352,283915214.00,33855,46.17,97.75,-2.00
15-December-2023,3660.20,3894.05,3660.20,3860.05,3806.093426520034651357,272428,22523,1036886420.00,112510,41.30,233.85,199.85
14-December-2023,3620.25,3676.35,3620.25,3666.60,3663.531251395242173452,246373,24524,902595185.00,180323,73.19,56.10,46.35
13-December-2023,3641.00,3650.00,3563.05,3593.75,3601.428949027805371040,115769,12438,416933828.00,61727,53.32,86.95,-47.25
12-December-2023,3640.00,3699.00,3632.20,3672.05,3670.187487078767831300,77392,10223,284043150.00,44811,57.90,66.80,32.05
11-December-2023,3626.40,3652.70,3623.00,3642.20,3636.902291591483219054,22168,2581,80622850.00,10697,48.25,29.70,15.80
8-December-2023,3620.15,3644.00,3601.15,3626.40,3624.948673927623713294,274344,20588,994482919.00,47785,17.42,42.85,6.25
7-December-2023,3616.95,3631.00,3592.35,3616.70,3615.689037065032529762,37043,3410,133935969.00,18031,48.68,38.65,-0.25
6-December-2023,3530.45,3612.40,3526.90,3603.35,3575.521519350019442113,48863,4533,174710708.00,23913,48.94,85.50,72.90
